"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"4534","Normal/Others","WS/MP18225/2024-2025/144249-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Nand Kumar Pasi S/o Late Purra Pasi ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4535","Normal/Others","WS/MP18225/2024-2025/144250-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Najish S/o Kafil Ahmad Address Kajiyana kara ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4536","Normal/Others","WS/MP18225/2024-2025/144251-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Deshraj Pal S/o Chote Lal Pal ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4537","Normal/Others","WS/MP18225/2024-2025/144252-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Nakul Pasi S/o Ramdev Pasi ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4538","Normal/Others","WS/MP18225/2024-2025/144253-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ajay Maurya S/o Late Ram Bhawan ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4539","Normal/Others","WS/MP18225/2024-2025/144254-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Shakir S/o Mohd Toha ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73913","Physical Inspection"
"4540","Normal/Others","WS/MP18225/2024-2025/144255-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Genda Lal S/o Shiv Lal Pasi ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4541","Normal/Others","WS/MP18225/2024-2025/144256-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Sudheer Saroj S/o Ghunna Lal ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4542","Normal/Others","WS/MP18225/2024-2025/144257-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Kalum Nuri S/o Abdul khalik Address- Nagvanshi Kara ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4543","Normal/Others","WS/MP18225/2024-2025/144258-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Sanjay Saroj S/o Ram Chandra Pasi ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4544","Normal/Others","WS/MP18225/2024-2025/144259-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Sakhar Ali S/o Asgar Ali ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4545","Normal/Others","WS/MP18225/2024-2025/144260-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Satam Mishra S/o Avinash Mishra ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4546","Normal/Others","WS/MP18225/2024-2025/144261-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Idrish Ahamad S/o Karob Baksh ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4547","Normal/Others","WS/MP18225/2024-2025/144262-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Kareli Pasi S/o Baiju ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4548","Normal/Others","WS/MP18225/2024-2025/144263-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Raniya S/o Ajij Ahmad ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4549","Normal/Others","WS/MP18225/2024-2025/144264-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Babu Lal S/o Mathura ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4550","Normal/Others","WS/MP18225/2024-2025/144265-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Golideen S/o Ram Aasare ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4551","Normal/Others","WS/MP18225/2024-2025/144266-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Dinesh Yadav S/o Late Ram Raj ke Ghar ke samne Handpump","28-Sep-2024","17-Jan-2025","73913","Physical Inspection"
"4552","Normal/Others","WS/MP353/2025-2026/144269-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Peramangalam Jn., Ayavana GP, Muvattupuzha Block","28-Sep-2024","03-Apr-2025","215496","Physical Inspection"
"4553","Normal/Others","WS/MP353/2024-2025/144270-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Beslahem Jn., Ayavana GP,Muvatupuzha Block","28-Sep-2024","13-Feb-2025","207949","Physical Inspection"
"4554","Normal/Others","WS/MP353/2024-2025/144271-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Minimast light (8Mtr,Octogonal pole LED Flood Light 150 Wx5 no.s) at Ward 10,  near St.George Kurisupally  Valakom GP, Muvattupuzha Block","28-Sep-2024","14-Mar-2025","215496","Physical Inspection"
"4555","Normal/Others","WS/MP353/2024-2025/144273-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Ullappilli 19 Muslim Palli Jn., Ward. VII, Marady GP, Muvattupuzha Block","28-Sep-2024","03-Feb-2025","207949","Physical Inspection"
"4556","Normal/Others","WS/MP353/2025-2026/144274-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of minimast light    (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s ) Near Catholic Kappela Jn (Auto Stand), Ward. X, Marady GP, Muvattupuzha Block","28-Sep-2024","03-Apr-2025","215496","Physical Inspection"
"4557","Normal/Others","WS/MP353/2025-2026/144275-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of minimast light    (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) near Govt.LP School-Kayanadu in Marady G.P,Muvatupuzha Block","28-Sep-2024","03-Apr-2025","207949","Physical Inspection"
"4558","Normal/Others","WS/MP353/2024-2025/144276-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of minimast light    ( 8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s)  in front of Poyali Juma Masjid, ward 3, Paipra G.P, Muvatupuzha Block","28-Sep-2024","17-Mar-2025","215496","Physical Inspection"
"4559","Normal/Others","WS/MP353/2024-2025/144277-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Central Juma Masjid Jn., ward 2, PaipraG.P,Muvatupuzha Block","28-Sep-2024","01-Mar-2025","215496","Physical Inspection"
"4560","Normal/Others","WS/MP353/2024-2025/144278-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Pareeckapeedika jn., Ward 06, Avoly G.P.Muvatupuzha Block","28-Sep-2024","24-Jan-2025","207949","Physical Inspection"
"4561","Normal/Others","WS/MP353/2024-2025/144279-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","Installation of minimast light    ( 8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s)  at Muhiyudheen Juma Masjid Jn, Ward 10, Madakkathannam,Manjalloor G.P.Muvatupuzha Block","28-Sep-2024","01-Mar-2025","207949","Physical Inspection"
"4562","Normal/Others","WS/MP353/2024-2025/144280-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","Concreating of Ezhukambi -Nadusserippady road in Idukki -Kanjikkuzhy Grama Panchayathu in Idukki Block","28-Sep-2024","09-Dec-2024","826340","Physical Inspection"
"4563","Normal/Others","WS/MP353/2024-2025/144281-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","Construction of Side protection wall near Anganwady on Koompanpara -Pallippady-Odackacity road in Vellathooval Gramapanchayathu ,in Adimaly Block","28-Sep-2024","05-Dec-2024","1500000","Work partially Completed"
"4564","Normal/Others","WS/MP18225/2024-2025/144307-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Faisal Hasan S/o Rahat Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73913","Physical Inspection"
"4565","Normal/Others","WS/MP18225/2024-2025/144308-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ramesh Chandra S/o Ram Saran Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4566","Normal/Others","WS/MP18225/2024-2025/144309-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ballu S/o Rajwa Address Chak jmin hhjuna Kajipur Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4567","Normal/Others","WS/MP18225/2024-2025/144310-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Jagdeesh Yadav S/o Jagat Pal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4568","Normal/Others","WS/MP18225/2024-2025/144311-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Shiv Prasad Baba S/ Ram Dayal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4569","Normal/Others","WS/MP18225/2024-2025/144312-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Gaya Prasad S/o Rsamdeen Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4570","Normal/Others","WS/MP18225/2024-2025/144313-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Anil Kumar Singh S/o Kedar Sinhgh Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4571","Normal/Others","WS/MP18225/2024-2025/144314-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Papu Yadav S/o Ashrfi Lal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4572","Normal/Others","WS/MP18225/2024-2025/144315-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Hajari Prasad Pasi S/o Ram aasare, Madmadpur Kokhraj Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","74000","Work partially Completed"
"4573","Normal/Others","WS/MP18225/2024-2025/144316-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Sarvesh Yadav S/o Ram Chandra, Kajipur Patharawan Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4574","Normal/Others","WS/MP18225/2024-2025/144317-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Kusma Devi W/o Dinesh Singh, Kajipur Shakha  Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4575","Normal/Others","WS/MP18225/2024-2025/144318-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Mohd Imran S/o Mohd Ahamd  Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4576","Normal/Others","WS/MP18225/2024-2025/144319-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Nabi Ulla S/o Amin Uddin , Ghosiyana Afjalpur Santo Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4577","Normal/Others","WS/MP18225/2024-2025/144320-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Suresh Kumar S/o Late Satan Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4578","Normal/Others","WS/MP18225/2024-2025/144322-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Rahbar Pradhan EidGah ke Piche Nijammai Road me Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4579","Normal/Others","WS/MP18225/2024-2025/144323-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ram Babu S/o Late Chhedi Lal, Miya ka pura Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4580","Normal/Others","WS/MP18225/2024-2025/144324-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Balram S/o Moolchandra Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4581","Normal/Others","WS/MP18225/2024-2025/144325-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Vinod Singh S/o Chhedi Lal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4582","Normal/Others","WS/MP18225/2024-2025/144326-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Santosh Pal S/o Maiku Lal, Saini gav Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4583","Normal/Others","WS/MP18225/2024-2025/144327-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Nasim Ahamad S/o Panchm Mali Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4584","Normal/Others","WS/MP18225/2024-2025/144328-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Maiku S/o Ram Khelawan Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4585","Normal/Others","WS/MP18225/2024-2025/144329-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Suresh S/o Binda Prasad, Gaderiyan ka pura TikaDeeh Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4586","Normal/Others","WS/MP18225/2024-2025/144330-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Shyam Lal Prajapati S/o Surajdeen Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4587","Normal/Others","WS/MP18225/2024-2025/144331-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Kisan Pal Baba S/o Dukhi, Kanwar Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4588","Normal/Others","WS/MP18225/2024-2025/144332-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Atik Ahamad,Shabbir Ahamad ki Bajar me Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4589","Normal/Others","WS/MP18225/2024-2025/144333-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Balram S/o Manoshar Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4590","Normal/Others","WS/MP18225/2024-2025/144334-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Brijesh Kumar S/o Gokul Prasad, Masipur Dariyapur Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4591","Normal/Others","WS/MP18225/2024-2025/144335-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Raunak Jamir S/o Late Anvar Husain. Tedimod Thulgula Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4592","Normal/Others","WS/MP18225/2024-2025/144336-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Vijay S/o Jagat Pal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4593","Normal/Others","WS/MP18225/2024-2025/144337-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Hasim Ali S/o Manjoor Hasan Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4594","Normal/Others","WS/MP18225/2024-2025/144338-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Shiv Bhan S/o Ganesh Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4595","Normal/Others","WS/MP18225/2024-2025/144339-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ranvijay Singh S/o Ram Milan Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4596","Normal/Others","WS/MP18225/2024-2025/144340-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Mohd Jishan S/o Abdul Gaffar Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4597","Normal/Others","WS/MP18225/2024-2025/144341-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Girish Pasi S/o Ram Badhaur Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4598","Normal/Others","WS/MP18225/2024-2025/144342-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ashok Kumar S/o Brij lal Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73926","Physical Inspection"
"4599","Normal/Others","WS/MP18225/2024-2025/144343-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Chandrveer S/o Sitaram, DDR Chauraha Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
"4600","Normal/Others","WS/MP18225/2024-2025/144344-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Abbas S/o Abdul Karim Ke Ghar ke Samne Handpump","28-Sep-2024","17-Jan-2025","73934","Physical Inspection"
